"Date","Value"
"12/11/1969",2.465
"12/12/1969",2.4775
"12/15/1969",2.485
"12/16/1969",2.4875
"12/17/1969",2.4925
"12/18/1969",2.4975
"12/19/1969",2.49
"12/22/1969",2.485
"12/23/1969",2.4725
"12/24/1969",2.485
"12/26/1969",2.485
"12/29/1969",2.495
"12/30/1969",2.48
"12/31/1969",2.485
"01/02/1970",2.485
"01/05/1970",2.4825
"01/06/1970",2.495
"01/07/1970",2.5125
"01/08/1970",2.52
"01/09/1970",2.5275
"01/12/1970",2.5275
"01/13/1970",2.535
"01/14/1970",2.54
"01/15/1970",2.5475
"01/16/1970",2.5575
"01/19/1970",2.57
"01/20/1970",2.545
"01/21/1970",2.5575
"01/22/1970",2.56
"01/23/1970",2.5625
"01/26/1970",2.5525
"01/27/1970",2.5575
"01/28/1970",2.5625
"01/29/1970",2.5625
"01/30/1970",2.565
"02/02/1970",2.5775
"02/03/1970",2.59
"02/04/1970",2.5825
"02/05/1970",2.585
"02/06/1970",2.595
"02/09/1970",2.5875
"02/10/1970",2.5875
"02/11/1970",2.59
"02/12/1970",2.59
"02/13/1970",2.585
"02/16/1970",2.59
"02/17/1970",2.595
"02/18/1970",2.6125
"02/19/1970",2.6175
"02/20/1970",2.61
"02/24/1970",2.6225
"02/25/1970",2.6075
"02/26/1970",2.5925
"02/27/1970",2.595
"03/02/1970",2.595
"03/03/1970",2.605
"03/04/1970",2.5825
"03/05/1970",2.59
"03/06/1970",2.59
"03/09/1970",2.585
"03/10/1970",2.58
"03/11/1970",2.5725
"03/12/1970",2.585
"03/13/1970",2.5825
"03/16/1970",2.58
"03/17/1970",2.58
"03/18/1970",2.5825
"03/19/1970",2.575
"03/20/1970",2.575
"03/23/1970",2.57
"03/24/1970",2.5675
"03/25/1970",2.57
"03/26/1970",2.5725
"03/30/1970",2.5625
"03/31/1970",2.5675
"04/01/1970",2.59
"04/02/1970",2.59
"04/03/1970",2.605
"04/06/1970",2.62
"04/07/1970",2.61
"04/08/1970",2.6175
"04/09/1970",2.625
"04/10/1970",2.6325
"04/13/1970",2.645
"04/14/1970",2.645
"04/15/1970",2.635
"04/16/1970",2.6425
"04/17/1970",2.64
"04/20/1970",2.645
"04/21/1970",2.655
"04/22/1970",2.655
"04/23/1970",2.6625
"04/24/1970",2.68
"04/27/1970",2.665
"04/28/1970",2.6525
"04/29/1970",2.65
"04/30/1970",2.665
"05/01/1970",2.65
"05/04/1970",2.685
"05/05/1970",2.6725
"05/06/1970",2.6675
"05/07/1970",2.675
"05/08/1970",2.695
"05/11/1970",2.7
"05/12/1970",2.69
"05/13/1970",2.685
"05/14/1970",2.6975
"05/15/1970",2.715
"05/18/1970",2.715
"05/19/1970",2.72
"05/20/1970",2.715
"05/21/1970",2.7425
"05/22/1970",2.74
"05/25/1970",2.735
"05/26/1970",2.7225
"05/27/1970",2.735
"05/28/1970",2.7475
"05/29/1970",2.7475
"06/01/1970",2.735
"06/02/1970",2.7425
"06/03/1970",2.7475
"06/04/1970",2.755
"06/05/1970",2.7575
"06/08/1970",2.77
"06/09/1970",2.785
"06/10/1970",2.8025
"06/11/1970",2.8225
"06/12/1970",2.8
"06/15/1970",2.7875
"06/16/1970",2.7875
"06/17/1970",2.7725
"06/18/1970",2.78
"06/19/1970",2.7925
"06/22/1970",2.8025
"06/23/1970",2.8175
"06/24/1970",2.8275
"06/25/1970",2.885
"06/26/1970",2.905
"06/29/1970",2.935
"06/30/1970",2.9225
"07/01/1970",2.8937
"07/02/1970",2.9212
"07/06/1970",2.87
"07/07/1970",2.8575
"07/08/1970",2.93
"07/09/1970",2.885
"07/10/1970",2.875
"07/13/1970",2.9425
"07/14/1970",2.915
"07/15/1970",2.945
"07/16/1970",2.9225
"07/17/1970",2.93
"07/20/1970",2.94
"07/21/1970",2.935
"07/22/1970",2.9575
"07/23/1970",2.9625
"07/24/1970",2.9275
"07/27/1970",2.9225
"07/28/1970",2.88
"07/29/1970",2.8325
"07/30/1970",2.8
"07/31/1970",2.81
"08/03/1970",2.8
"08/04/1970",2.8
